ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|itn_easting|itn_northing|itn_toid|itn_toid_version|distance|address_detail|street_name|locality|geographic_county|postcode|verified_address|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
17137731|Duns Old and Boston Church|06340459|378627|653864|1||0001000036837982|7|378613.5|653883.2|4000000006288580|6|23.4||||Scottish Borders|TD11|N|Scottish Borders||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17132121|Hurlford Church|06340459|245413|637094|1||0001000040111198|4|245422.1|637084.1|4000000005104140|6|13.5||||Strathclyde|KA3|N|East Ayrshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17124857|Whalsay Church|06340459|455511|1165489|1||0001000038653149|4|455493.8|1165455.8|4000000003219287|7|37.4||||Shetland|ZE2|N|Shetland Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17129438|St Drostan's Parish Church|06340459|329746|701968|1||0001000039458796|3|329771.3|701977.2|4000000004470033|6|26.9||||Fife|KY7|N|Fife||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126349|Kiltarlity Free Church|06340459|250644|841145|1||0001000038789921|5|250650|841164.4|4000000003512588|6|20.3||||Highland|IV4|N|Highland||||Religion|Other (Christian)|Ordnance Survey|2015-12-01
17136624|St Philip's Church|06340459|325465|675142|1||0001000036568163|2|325477|675147.8|4000000006263540|5|13.4||||Lothian|EH7|N|City of Edinburgh||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17134918|Lamington Church|06340459|297820|630938|1||0001000036249623|4|297815.8|630917.3|4000000005131842|7|21.1||||Strathclyde|ML12|N|South Lanarkshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17132993|St Columba's Episcopal Church|06340459|250141|669600|1||0001000040198063|3|250150.4|669609.9|4000000005147547|8|13.6||||Strathclyde|G81|N|West Dunbartonshire||||Religion|Scottish Episcopal (Christian)|Ordnance Survey|2015-12-01
17126715|Edderton Parish Church|06340459|271020|884716|1||0001000038855979|5|271004.8|884696.7|4000000003526375|8|24.6||||Highland|IV19|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17131035|West Parish Church|06340459|229612|609568|1||0001000039866947|11|229626.9|609577.3|5000005106751178|1|17.5||||Strathclyde|KA19|N|South Ayrshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17131338|Our Lady Star of the Sea R C Church|06340459|223700|691705|1||5000005152583895|1|223687.7|691727.7|4000000005098849|6|25.8||||Strathclyde|G84|N|Argyll and Bute||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17125361|St Nicholas' Church|06340459|351043|1000637|1||0001000038677891|3|351044.6|1000608.3|4000000003263320|7|28.7||||Orkney|KW17|N|Orkney Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17132460|Bowling Church|06340459|244689|673679|1||0001000040107888|4|244696.8|673693.6|4000000005167061|9|16.5||||Strathclyde|G60|N|West Dunbartonshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17137865|Reston Church of Scotland|06340459|387847|662096|1||0001000036851463|3|387845.1|662120.4|4000000006294303|5|24.5||||Scottish Borders|TD14|N|Scottish Borders||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
17133728|Park Church|06340459|265292|673776|1||0001000040575364|2|265303.6|673756.6|4000000005169457|7|22.6||||Strathclyde|G66|N|East Dunbartonshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17129759|Saints Peter and Paul R C Church|06340459|339597|731661|1||0001000039536821|4|339577.1|731659.9|4000000004485670|8|19.9||||Tayside|DD3|N|Dundee City||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17133966|Wishaw United Free Church of Scotland|06340459|279873|655160|1||0001000040829103|2|279854.3|655179.1|4000000005410264|1|26.8||||Strathclyde|ML2|N|North Lanarkshire||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
17126050|Bracadale Church of Scotland|06340459|136864|833085|1||0001000038761122|4|136876.8|833088.6|4000000003450621|3|13.3||||Inner Hebrides|IV47|N|Highland||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
17132278|Oakshaw Trinity Church|06340459|248068|664106|1||0001000040155196|4|248069.8|664127.8|4000000005364191|4|21.9||||Strathclyde|PA1|N|Renfrewshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
